Plot,weight_before,weight_after,litter_loss,bacterivore_abund,fungivore_abund,tree_div,Othick,Athick,Bthick,humus_type
1,1.26,1.23,0.03,1719,21,0.98,0,15,16,mull
2,1.28,0.88,0.4,3493,106,0.46,5,5,25,moder
3,1.41,1.31,0.1,1745,109,1,5,5,25,moder
4,1.26,1.2,0.06,2469,193,0.73,0,11,20,mull
5,1.34,0.91,0.43,1623,138,1.39,0,18,20,mull
6,1.27,0.94,0.33,1783,79,1.61,0,16,17,mull
7,1.32,1.11,0.21,1632,233,1.8,0,17,15,mull
8,1.17,0.88,0.29,1522,24,0.58,0,22,20,mull
9,1.21,1.09,0.12,4049,92,0.73,0,23,23,mull
10,1.32,0.92,0.4,2597,293,0.66,2,5,22,moder
11,1.17,1.12,0.05,3684,88,1.74,0,11,20,mull
12,1.21,0.91,0.3,635,30,1.75,8,6,18,moder
13,1.31,1.19,0.12,1205,2,1.35,1,7,30,moder
14,1.11,0.91,0.2,1934,11,1.41,2,18,26,moder
15,1.42,0.96,0.46,1519,9,1.37,1,17,15,mull
16,1.26,0.91,0.35,3341,14,1.13,1,17,24,mull
17,1.51,0.91,0.6,758,39,1.31,6,8,20,moder
18,1.21,1.2,0.01,1322,51,1.59,0,16,18,mull
19,1.23,0.91,0.32,3075,15,2.01,1,13,17,mull
20,1.21,0.81,0.4,1031,165,0.73,9,3,20,mor
21,1.14,0.91,0.23,2802,239,1.84,2,2,20,moder
22,1.29,0.79,0.5,2317,105,1.74,1,19,2,mull
23,1.33,0.9,0.43,2280,175,0.95,4,9,7,moder
24,1.26,1.22,0.04,3152,141,1.45,1,13,20,mull
25,1.19,0.92,0.27,1599,92,1.62,1,15,15,mull
26,1.29,1.21,0.08,1951,63,1.5,1,16,20,mull
27,1.3,0.91,0.39,2655,145,1.19,1,18,20,mull
28,1.19,0.96,0.23,4589,111,2.01,1,28,10,mull
29,1.47,0.89,0.58,2912,231,1.59,4,10,20,moder
30,1.39,1.31,0.08,1998,54,2.14,9,5,20,moder
31,1.34,0.89,0.45,2466,29,1.27,8,7,16,moder
32,1.08,0.22,0.86,1867,29,1.35,0,13,2,mull
33,1.36,0.88,0.48,2020,105,1.05,17,7.5,10,mor
34,1.3,1.23,0.07,2442,70,1.09,10,5,28,moder
35,1.24,0.87,0.37,1153,47,0.73,0,23,17,mull
36,1.09,1.14,-0.05,1646,99,1.31,0,18,25,mull
37,1.21,0.94,0.27,2257,13,0.94,0,12,13,mull
38,1.19,0.98,0.21,2196,139,1.52,12,9,21,moder
39,1.36,0.95,0.41,1906,9,2.21,0,25,28,mull
40,1.16,0.9,0.26,1975,5,0.61,16,11,29,moder
41,1.39,0.89,0.5,1850,51,1.7,14,15,30,moder
42,1.27,0.92,0.35,2678,151,1.98,6,13,21,moder
43,1.37,1,0.37,1557,232,1.45,0,18,11,mull
44,1.16,0.89,0.27,1448,117,1.07,0,13,30,mull
45,1.36,0.98,0.38,3222,385,1.43,9,4,30,mor
46,1.23,0.96,0.27,2949,402,1.72,4,15,10,moder
47,1.25,0.93,0.32,1977,126,1.83,0,16,26,mull
48,1.12,0.94,0.18,2380,269,1.36,3,11,10,moder
49,1.45,0.9,0.55,3051,74,1.24,9,8,28,moder
50,1.22,0.89,0.33,505,10,1.77,11,9,23,moder
51,1.22,0.89,0.33,1822,186,1.68,1,14,20,mull
52,1.2,0.94,0.26,1817,141,0.32,0,22,9,mull
53,1.23,0.94,0.29,1682,20,1.23,2,24,10,moder
54,1.46,1.37,0.09,2422,140,1.49,0,18,6,mull
55,1.21,0.94,0.27,3888,246,1.55,0,27,34,mull
56,1.14,1.07,0.07,2120,49,1.61,0,14,12,moder
57,1.32,0.95,0.37,3325,37,1.38,6,8,11,moder
58,1.29,1.12,0.17,4102,83,0.74,0,15,22,mull
59,1.3,0.91,0.39,1479,33,1.98,20,5,6,moder
60,1.3,1.02,0.28,2090,124,1.23,0,15,20,mull
61,1.26,0.87,0.39,1986,147,1.86,7,10,16,moder
62,1.39,1.18,0.21,50,39,1.71,1,25,3,mull
63,1.17,0.88,0.29,3396,149,1.13,0,43,12,mull
64,1.44,1.25,0.19,5275,167,0.69,4,15,1,moder
65,1.37,0.88,0.49,3429,205,1.05,0,10,11,mull
66,1.28,1.26,0.02,1319,125,2.06,8,7,55,moder
67,1.42,0.91,0.51,1258,45,0.2,5,4,7,moder
68,1.34,1.32,0.02,1844,79,0.81,4,8,9,moder
69,1.29,0.87,0.42,298,128,1.21,1,10,19,mull
70,1.32,1.14,0.18,254,355,1.76,0,17,11,mull
71,1.36,0.93,0.43,238,173,2.12,3,7,10,moder
72,1.29,0.63,0.66,204,321,1.95,6,7,20,moder
73,1.31,0.87,0.44,76,61,1.45,0,19,5,mull
75,1.19,0.94,0.25,176,85,0.77,5,10,10,moder
76,1.17,0.91,0.26,94,58,1.61,5,18,18,moder
77,1.37,0.9,0.48,79,41,1.4,6,9,50,moder
78,1.25,0.86,0.39,217,235,2.06,7,10,8,moder
79,1.21,0.81,0.41,107,127,0.96,0,18,10,mull
80,1.34,0.76,0.58,101,97,0.39,20,7,23,mor
81,1.35,1.11,0.24,2222,106,1.36,7,4,17,mor
82,1.23,0.86,0.37,47,108,1.25,0,25,46,mull
83,1.3,1.24,0.06,130,114,1.81,6,9,40,moder
84,1.23,0.91,0.32,78,109,2.48,3,20,11,moder
85,1.28,0.88,0.4,70,35,0.71,1,17,18,mull
86,1.25,0.87,0.38,81,96,1.03,1,15,28,moder
87,1.25,1.19,0.06,65,70,0.65,11,4,31,moder
88,1.34,0.74,0.6,183,258,0.99,11,7,25,mor
89,1.36,1.2,0.16,2615,179,1.62,1,9,20,mull
90,1.24,0.93,0.31,3033,99,0.82,6,16,4,moder
91,1.48,1.37,0.11,554,28,1.63,11,7,20,moder
92,1.21,0.91,0.3,1830,162,1.15,0,20,8,mull
93,1.35,0.92,0.43,1593,143,0.76,0,32,28,mull
94,1.32,1.19,0.13,2913,118,1.69,0,15,2,mull
95,1.37,0.8,0.57,566,65,1.83,0,4,38,moder
96,1.31,1.19,0.12,2077,27,0.79,9,6,1,moder
97,1.16,0.9,0.26,781,161,1.79,10,8,30,moder
98,1.08,1,0.08,2843,108,0.56,0,16,12,mull
99,1.47,1.11,0.36,3001,24,1.74,0,18,15,mull
100,1.23,0.87,0.36,2547,20,0.81,5,4,18,moder
101,1.22,1.2,0.02,3084,47,1.8,0,25,9,mull
102,1.23,0.33,0.9,9632,67,0.71,5,12,7,moder
103,1.14,0.99,0.15,8889,304,1.55,0,13,30,mull
104,1.25,1.02,0.23,2839,71,1.09,10,12,30,moder
105,1.45,0.96,0.49,4548,376,1.97,16,10,35,moder
106,1.14,0.7,0.44,736,109,1.81,12,16,8,moder
107,1.37,1.1,0.27,736,25,1.62,0,11,9,mull
108,1.31,0.96,0.35,2791,121,0.79,6,17,10,moder
109,1.33,1.3,0.03,4907,3,1.83,0,15,22,mull
110,1.2,0.54,0.66,3552,134,1.12,18,7,30,moder
111,1.37,1.34,0.03,5482,169,1.54,5,2,17,moder
112,1.23,0.75,0.48,1966,87,0.82,6,5,8,moder
113,1.27,0.93,0.34,2805,21,0.96,0,18,20,mull
